id,psraid,sex,q1,q2a,q2b,q2c,q4,age,educ2,schl,rschl,schl2,q9,q12,q13,q14,q15,q17,q17cd1,q20,q21,q22a,q22b,q22c,q22d,q23,q24,qe3,qe3a,q28,q29,q30a,q30b,q30c,q30d,q30e,q30f,q30g,q34,q35,q36,q37,q40,q41,q41cd1,q41cd2,q41cd3,marital,hisp4,race3m1,race3m2,race3m3,race3m4,ownrent,relig,chr,born,attend,income,finan,party,partyln,ideo,birth_hisp,usborn1a,hh1,hh2,ql1,ql1a,qc1,ql2,ql3,ed1vb,ed2vb,schl2os,q17vb,q18vb,q19vb,q41vb,raceos,religos,iphusefr,hphusety,adults,racecmb,racethn,racethn2,hisporig,ideo3x,ll,cell,wt1,wt2,weight
21,100633,1,3,1,1,5,1,65,8,NA,NA,NA,1,1,NA,NA,2,1,Science,1,1,1,1,2,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,2,6,99,NA,4,9,1,NA,1,2,2,1,NA,NA,NA,3,,1968,,ENTOMOLOGY (STUDY OF INSECTS),,,,,,2,2,2,1,1,1,2,1,1,1,0.7888898,1.033446,6.272727
22,101205,2,2,1,1,5,3,80,6,NA,NA,NA,1,2,NA,NA,2,1,Medical Science,2,NA,2,2,2,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,1,1,NA,2,4,6,NA,3,9,3,NA,1,1,NA,1,NA,NA,3,NA,1985,NA,,NURSING,,,,,,2,2,1,1,1,1,2,2,1,1,0.5829082,0.7636096,5.272727
26,101394,2,1,1,2,1,3,49,8,5,1,6,1,1,3,1,1,1,Education,1,1,2,2,2,1,1,2,1,,1,NA,3,1,1,1,1,3,1,1,2,1,1,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,1,2,8,NA,3,1,2,NA,1,3,3,1,NA,NA,NA,2,,1986,,SCIENCE AND EDUCATION,,,,,,2,2,3,1,1,1,2,1,1,1,0.8942197,1.171428,14
27,101566,2,1,1,2,2,1,49,8,5,2,NA,1,1,2,1,1,1,Education,2,1,2,2,2,2,2,3,3,1,NA,1,3,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,2,2,99,NA,2,NA,3,NA,1,4,3,1,NA,NA,NA,1,,1986,,ELEMENTARY,,,,,,2,3,3,1,1,1,2,2,1,1,0.8942197,1.171428,10.63636
17,101693,1,3,2,3,3,3,42,6,5,3,6,1,1,1,2,2,1,Computer Science,2,NA,2,1,2,1,4,3,1,,2,NA,2,2,2,2,2,2,2,3,1,2,1,4,1,2,NA,NA,1,2,1,NA,NA,NA,1,12,NA,NA,6,7,NA,3,9,3,NA,1,5,2,1,NA,NA,NA,2,1997,NA,,INFORMATION SYSTEMS,,,TOO COMPETITIVE,,,2,2,2,1,1,1,2,2,1,1,0.7888898,1.033446,11.45455
28,101718,2,2,1,2,5,3,75,8,NA,NA,NA,1,1,NA,NA,2,1,Education,1,1,2,2,2,1,NA,NA,3,1,NA,2,4,2,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,1,1,4,NA,1,NA,2,NA,1,2,2,1,NA,NA,NA,2,,1960,,ELEMENTARY EDUCATION,,,,,,2,2,2,1,1,1,2,1,1,1,0.7888898,1.033446,5.272727
2,101807,2,2,1,9,5,1,82,8,NA,NA,NA,1,2,NA,NA,1,1,Education,1,1,2,2,2,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,2,1,NA,1,2,3,NA,1,NA,2,NA,1,2,2,1,NA,NA,NA,2,,1957,,EDUCATION,,,,,,2,2,2,1,1,1,2,1,1,1,0.7888898,1.033446,6
14,101900,2,2,2,2,1,3,72,6,NA,NA,NA,1,2,NA,NA,2,1,Medical Science,1,NA,2,2,2,1,NA,NA,2,,1,NA,3,2,2,2,2,3,2,1,2,2,2,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,1,1,NA,1,2,6,NA,3,9,2,NA,1,2,2,1,NA,NA,NA,1,1963,NA,,NURSING,,,,,,2,3,2,1,1,1,2,1,1,1,0.7888898,1.033446,5.272727
7,101937,1,1,1,1,1,3,48,8,5,2,NA,1,2,NA,NA,1,1,Physics,1,1,2,2,2,2,1,3,1,,1,NA,3,2,2,1,3,3,2,1,2,1,1,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,1,2,8,NA,3,2,4,NA,1,2,2,1,NA,NA,NA,3,,1987,,ASTRO-PHYSICS,,,,,,2,2,2,1,1,1,2,3,1,1,0.7888898,1.033446,7.909091
1,202112,1,2,2,3,3,2,53,8,5,3,4,1,1,2,1,2,1,Engineering,1,1,2,1,2,2,1,3,2,,2,NA,3,3,2,2,3,3,3,1,2,1,1,2,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,2,NA,2,4,99,NA,4,1,1,NA,1,2,2,NA,NA,1,NA,1,,1982,,ELECTRICAL ENGINEERING,,,,,,3,3,2,1,1,1,2,1,1,1,0.7888898,1.222779,10.27273
4,203897,1,1,1,2,5,1,61,8,5,2,NA,2,1,1,1,2,1,Education,4,3,1,2,2,2,2,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,12,NA,NA,5,3,NA,3,1,2,NA,1,2,2,NA,NA,1,NA,1,,1977,,PHYSICAL EDUCATION,,,,,,3,3,2,1,1,1,2,1,1,1,0.7888898,1.222779,6.454545
10,208328,1,1,1,1,5,1,60,6,5,2,NA,1,2,NA,NA,1,1,Education,1,NA,2,2,2,1,1,2,3,1,NA,1,2,2,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,NA,NA,NA,1,1,NA,1,3,9,NA,3,1,2,NA,1,2,2,NA,NA,1,NA,2,1975,NA,,EDUCATION,,,,,,3,2,2,1,1,1,2,1,1,1,0.7888898,1.222779,8.545455
3,208352,1,2,1,2,1,3,41,8,5,2,NA,1,1,5,1,2,1,Social Science,2,3,2,2,2,2,1,3,1,,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,1,1,NA,2,3,7,NA,1,NA,3,NA,1,3,2,NA,NA,1,NA,1,,1994,,PSYCHOLOGY,,,,,,3,3,2,1,1,1,2,2,1,1,0.7888898,1.222779,11.90909
9,208501,1,2,1,3,1,3,32,6,5,1,5,1,2,NA,NA,2,1,Journalism,2,NA,1,1,2,2,3,1,1,,2,NA,2,2,2,2,3,2,3,1,2,2,2,2,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,1,2,7,2,1,NA,3,NA,1,3,2,NA,NA,2,NA,NA,2003,NA,,PHOTO JOURNALISM,,,,,,4,4,2,1,1,1,2,2,0,1,1.22,0.5124,2
25,208766,2,2,1,1,5,1,28,8,5,1,6,1,2,NA,NA,2,1,Social Science,1,1,2,1,1,1,1,3,3,1,NA,1,2,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,7,NA,NA,NA,5,2,NA,1,2,99,2,4,9,4,3,NA,2,2,NA,NA,2,NA,NA,,2009,,ENGLISH,,,,,,4,4,2,5,3,4,1,3,0,1,1,0.42,2.818182
24,210515,1,1,1,1,1,3,37,6,5,1,6,1,1,2,1,1,1,Science,1,NA,2,2,2,1,1,3,1,,1,NA,1,1,1,1,1,2,2,1,2,1,1,1,NA,NA,NA,NA,1,1,9,NA,NA,NA,1,10,NA,NA,6,9,NA,2,NA,5,1,NA,5,2,NA,NA,1,NA,2,2000,NA,,ARCHITECTURE,,,,,,3,2,2,9,3,3,1,3,1,1,0.7888898,1.222779,13.72727
6,210923,2,2,1,1,1,3,30,6,5,2,NA,1,1,5,2,2,1,Business,1,NA,2,2,2,2,1,3,1,,2,NA,2,2,2,1,2,2,2,1,2,1,1,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,1,3,9,2,1,NA,2,NA,1,2,2,NA,NA,2,NA,NA,2007,NA,,MARKETING,,,,,,4,4,2,1,1,1,2,1,0,1,1.22,0.5124,3.545455
18,211061,2,3,1,4,3,1,41,7,3,NA,6,1,1,NA,NA,2,NA,Social Science,5,5,2,1,1,1,NA,NA,1,,2,NA,3,1,1,1,1,1,1,3,1,2,2,4,1,3,NA,NA,3,2,1,NA,NA,NA,4,12,NA,NA,5,2,NA,4,9,9,NA,1,5,4,NA,NA,2,NA,NA,,2011,,PSYCHOLOGY,,,JOB AVAILABLE,,,4,4,3,1,1,1,2,9,0,1,1.22,1.891,17.36364
11,211394,2,2,1,3,5,3,29,7,4,NA,6,1,1,NA,NA,1,1,Law,2,1,2,1,2,2,NA,NA,3,1,NA,1,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,7,NA,NA,NA,2,2,NA,2,4,2,2,2,NA,4,1,NA,1,NA,NA,NA,2,NA,NA,,2006,,LAW,,,,,,4,4,1,5,3,3,1,3,0,1,1.22,0.5124,3.727273
19,214604,2,1,1,1,1,1,85,6,NA,NA,NA,1,2,NA,NA,2,1,Education,1,NA,2,2,2,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,1,1,NA,1,2,6,NA,2,NA,3,NA,1,1,NA,NA,NA,1,2,NA,1949,NA,,EDUCATION,,,,,,3,2,1,1,1,1,2,2,1,1,0.5829082,0.9035076,5.272727
30,214877,1,2,2,2,2,1,38,6,5,2,NA,1,1,3,1,1,1,Engineering,2,NA,2,1,2,1,2,3,1,,1,NA,2,2,1,2,2,2,3,1,2,1,1,3,1,2,NA,NA,9,2,2,NA,NA,NA,9,12,NA,NA,4,8,NA,3,2,3,NA,9,99,NA,NA,NA,1,NA,2,1997,NA,,ELECTRONIC ENGINEERING TECHNOLOGY,,,CHANGE OF DESIRE,,,3,2,1,2,2,2,2,2,1,1,0.5829082,0.9035076,7.181818
16,218185,2,1,1,2,1,1,34,6,5,2,NA,1,1,3,1,2,1,Social Science,2,NA,2,1,1,2,3,1,1,,1,NA,2,1,3,1,1,3,1,1,1,1,1,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,2,1,NA,2,2,6,2,1,NA,2,NA,1,3,1,NA,NA,2,NA,NA,2006,NA,,PSYCHOLOGY,,,,,,4,4,1,1,1,1,2,1,0,1,1,0.42,2.636364
13,219541,1,2,1,3,3,3,26,8,5,3,6,1,1,5,2,2,1,Law,1,2,2,3,2,2,3,3,3,1,NA,1,3,2,1,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,NA,NA,2,99,2,NA,5,5,1,2,NA,5,NA,1,2,2,NA,NA,2,NA,NA,,2010,,JURIST DOCTORATE,,,,,,4,4,2,4,4,5,2,3,0,1,1,0.42,1.909091
12,223692,1,2,1,2,3,1,28,8,4,NA,6,2,2,NA,NA,2,1,Music,2,2,2,1,1,2,NA,NA,3,2,NA,1,4,3,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,NA,NA,NA,3,7,NA,NA,3,2,2,3,1,3,NA,2,2,2,NA,NA,2,NA,NA,,2008,,MUSIC PERFORMANCE,,,,,,4,4,2,3,4,5,2,2,0,1,1,0.42,1.636364
20,400179,2,1,1,4,5,1,28,6,4,NA,99,1,2,NA,NA,2,1,Business,2,NA,2,1,1,1,NA,NA,3,2,NA,2,4,2,2,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,1,99,2,NA,6,99,2,9,2,2,NA,2,3,2,NA,NA,1,NA,3,2007,NA,,ACCOUNTING,,,,,,3,2,2,3,4,5,2,1,1,1,0.4892341,0.2054783,2.363636
23,400363,1,2,1,2,2,3,27,6,5,1,6,1,2,NA,NA,2,1,Business,2,NA,2,1,1,2,2,1,1,,2,NA,2,3,2,1,2,2,2,2,1,1,1,2,NA,NA,NA,NA,2,2,1,NA,NA,NA,2,10,NA,NA,4,7,2,2,NA,3,NA,1,2,2,NA,NA,2,NA,NA,2009,NA,,BUSINESS MARKETING AND MANAGEMENT,,,,,,4,4,2,1,1,1,2,2,0,1,1.392649,0.5849127,1.909091
5,400545,2,1,1,1,1,3,30,6,5,9,NA,1,1,3,2,2,1,Social Science,2,NA,1,1,2,1,2,3,1,,1,NA,3,2,2,3,1,2,2,1,1,1,1,4,1,3,NA,NA,1,2,1,NA,NA,NA,1,13,NA,1,2,7,2,2,NA,3,NA,1,3,2,NA,NA,2,NA,NA,2006,NA,,SPANISH AND LATIN AMERICAN STUDIES,,,FOUND IT DIFFICULT TO FIND A JOB THAT UTILIZES YOUR DEGREE,,,4,4,2,1,1,1,2,2,0,1,0.6191869,0.2600585,1.545455
15,400598,2,1,1,2,1,1,28,6,2,NA,2,1,1,NA,NA,2,1,Business,1,NA,2,2,2,1,NA,NA,1,,1,NA,2,1,1,3,1,3,1,1,2,2,1,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,13,NA,1,1,8,2,1,NA,2,NA,1,2,2,NA,NA,2,NA,NA,2007,NA,,HUMAN RESOURCES,,,,,,4,4,2,1,1,1,2,1,0,1,0.7761887,0.3259993,1.636364
8,400683,2,2,2,2,5,1,26,6,2,NA,6,1,2,NA,NA,2,1,Medical Science,2,NA,2,2,1,1,NA,NA,3,2,NA,2,3,1,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,NA,NA,NA,2,8,NA,NA,9,1,1,3,2,2,NA,2,2,2,NA,NA,2,NA,NA,2012,NA,,MEDICINE,,,,,,4,4,2,3,4,5,2,1,0,1,1.551095,0.6514597,5.181818
29,400710,2,1,1,2,2,3,26,8,5,1,6,1,1,5,2,2,1,Medical Science,1,3,1,1,2,2,1,3,1,,1,NA,2,2,1,2,1,2,3,1,2,1,1,1,NA,NA,NA,NA,6,2,1,NA,NA,NA,2,2,NA,2,5,1,2,1,NA,3,NA,1,1,NA,NA,NA,2,NA,NA,,2010,,MASTER OF SCIENCE AND PHYSICIAN ASSISTANT STUDIES,,,,,,4,4,1,1,1,1,2,2,0,1,0.298127,0.1252134,1
